ev_id,trip_index,location_zone,location_type,arrival_min,departure_min,charged_kwh,deferrable_kwh,max_delay_min
481,1,14,H,959.101221,1440,1.6496129159072623,1.6496129159072623,467.15200470077286
482,0,13,W,452.9117756122449,1033,9.100143057464065,9.100143057464065,530.4510804379511
482,1,17,H,1057.9140021020407,1440,3.3294605305729874,3.3294605305729874,354.3404934765176
484,1,24,H,1023.0416632,1440,1.9651093482885216,1.9651093482885216,400.5824255642623
485,1,21,H,1075.8021874285714,1440,4.85502478961452,4.85502478961452,323.7392726579742
486,0,6,W,486.3606120897959,1041,9.121828425945669,9.121828425945669,504.8839601323187
486,1,16,H,1060.3679688,1440,2.81450572050246,2.81450572050246,356.17781686247963
488,1,14,H,1090.9242994489796,1440,4.856223048510429,4.856223048510429,308.60717514676685
489,0,24,W,451.06093789387756,1062,8.129330290096956,8.129330290096956,566.5972605237755
490,1,12,H,1074.9084838693877,1440,9.959316486095007,9.959316486095007,282.09721207982057
492,0,3,O,1110.7511954081633,1320,10.734842068044689,10.734842068044689,150.6951205843202
493,1,3,H,1042.3549439387755,1440,4.371063428738697,4.371063428738697,361.21952748840204
494,1,24,H,1083.548642,1440,9.975192979957912,9.975192979957912,273.3247498336841
496,1,19,H,1046.2256750571428,1440,14.198273504430533,14.198273504430533,275.4553790726027
500,1,9,H,1057.0673516020408,1440,1.8049987479962688,1.8049987479962688,367.89099216465684
501,1,7,H,1099.7390248571428,1440,10.83576981899794,10.83576981899794,249.96289331787443
502,1,5,H,1053.7583072448979,1440,5.041322322873892,5.041322322873892,344.2306733978196
504,0,17,W,467.3344580612245,1041,9.73780752418769,9.73780752418769,520.550228170479
505,1,23,H,1049.360864744898,1440,9.062422454237119,9.062422454237119,315.11894813645927
506,1,22,H,807.9205412,1440,6.460966807928546,6.460966807928546,578.2380687339288
509,0,24,W,463.6218756326531,1033,12.138217695166722,12.138217695166722,503.16966421189204
512,1,23,H,1061.9410181714286,1440,9.95757281437371,9.95757281437371,295.07920837545726
514,0,14,W,437.3514647959184,1058,9.554485742552009,9.554485742552009,568.5331584265252
516,0,20,W,467.18078024489796,1041,8.01983536958842,8.01983536958842,530.0746631937106
