ev_id,trip_index,fcs_zone,arrival_min,departure_min,charged_kwh,cost
387,1,11,1055.754512244898,1062.6075408936895,11.653028648791494,4.6612114595166
389,1,13,1033.3616066285715,1041.5138934583465,12.952286829774968,5.18091473190999
398,1,6,1038.0,1045.4154891237242,12.215489123724122,4.886195649489651
400,0,5,779.0,787.600547365912,13.400547365912006,5.360218946364805
401,0,16,425.0,433.83757405770575,13.63757405770573,5.455029623082295
403,1,1,1053.3648877714286,1058.0966784100426,9.531790638613929,3.812716255445573
408,0,11,477.0,486.02263351103244,13.822633511032464,5.529053404412989
412,0,17,450.75759841836737,460.198101697318,14.240503278950621,5.696201311580251
413,1,2,1146.0,1150.00680827316,8.806808273160048,3.5227233092640207
415,1,9,736.800840489796,741.267189658286,9.266349168490093,3.706539667396039
421,1,17,1065.7234581306122,1070.5110057223853,9.587547591773106,3.835019036709244
426,1,16,1049.3510644183673,1054.497107516483,9.946043098115878,3.978417239246353
427,0,18,418.7204752,428.04663022147344,14.126155021473444,5.65046200858938
430,1,23,1102.0,1111.588481944607,14.388481944607225,5.755392777842893
435,0,9,454.0,463.0019987379514,13.8019987379514,5.520799495180563
439,0,19,463.0,472.494099861485,14.29409986148499,5.717639944593999
443,1,17,1052.7539229591837,1060.7413007987554,12.787377839571704,5.114951135828684
446,1,5,809.0,812.5777771039517,8.37777710395169,3.3511108415806774
447,0,17,525.0,531.5720938008191,11.37209380081908,4.548837520327634
448,1,6,1043.0,1047.3423160137218,9.142316013721697,3.6569264054886803
451,1,14,695.0,699.5887345774156,9.388734577415613,3.7554938309662473
454,1,5,1069.0,1077.5583317768906,13.358331776890516,5.343332710756209
459,1,18,1050.0,1052.8295897193484,7.62958971934839,3.051835887739357
463,1,22,1039.7522864285713,1047.8117610001943,12.859474571622929,5.143789828649174
466,1,23,1053.0,1056.0896187773762,7.889618777376274,3.1558475109505113
469,1,19,1064.3641636571429,1068.7963194244412,9.232155767298472,3.6928623069193907
479,1,20,1094.0000404081632,1098.7321008512276,9.532060443064495,3.8128241772258
483,1,8,938.3500683571428,941.499829069744,7.949760712601215,3.1799042850404873
487,0,8,487.3501074183674,496.9091738643194,14.359066445952063,5.743626578380828
491,1,22,1062.0,1071.4881733295945,14.28817332959443,5.715269331837775
495,1,5,1053.0,1061.3123839676382,13.112383967638122,5.244953587055251
497,0,14,431.0,437.122539760138,10.922539760138033,4.369015904055216
498,0,9,874.0,883.3485115980922,14.148511598092181,5.659404639236875
499,1,14,1061.0,1067.0001991271454,10.800199127145302,4.320079650858123
503,0,11,463.0,471.0744815903742,12.87448159037421,5.149792636149686
507,1,16,915.8005387755102,921.3761000209512,10.375561245441002,4.150224498176403
508,0,17,445.75741658163264,455.2573520331807,14.299935451548068,5.7199741806192295
510,1,18,800.0,802.5711174672699,7.371117467269867,2.9484469869079484
511,1,9,1051.0,1055.8775155334563,9.67751553345631,3.871006213382526
513,1,21,1036.0,1038.8269774659382,7.626977465938072,3.0507909863752305
515,1,11,1059.8045041632654,1067.665375428885,12.660871265619583,5.0643485062478355
519,0,14,1021.0,1029.815436680831,13.615436680830932,5.446174672332376
521,0,13,446.3629869714286,452.5756926684593,11.012705697030682,4.405082278812275
524,0,1,442.36300205714286,449.35859223317755,11.795590176034693,4.718236070413879
525,1,22,1051.0,1053.476530174674,7.276530174674104,2.910612069869643
545,1,11,774.0,776.9743284764572,7.774328476457281,3.109731390582914
547,1,3,1068.0,1073.2485102270423,10.048510227042295,4.01940409081692
555,1,18,1052.0,1058.9929983397446,11.792998339744763,4.717199335897908
557,0,24,447.0,456.1965631183545,13.996563118354512,5.598625247341808
564,0,17,1027.0,1036.137828774608,13.937828774607809,5.575131509843126
566,0,21,461.0,470.26716543942575,14.067165439425763,5.626866175770307
568,0,7,1068.8018318367347,1078.1065692279744,14.104737391239883,5.641894956495956
569,1,22,1059.0,1062.3838114476378,8.183811447637819,3.273524579055129
570,1,19,786.0,791.795792680755,10.595792680754935,4.238317072301975
571,1,22,1039.0,1046.8795156425865,12.679515642586601,5.071806257034643
577,0,23,487.75165,497.172127113106,14.22047711310602,5.688190845242411
580,1,22,1018.0,1027.402231356148,14.202231356147845,5.680892542459141
589,0,23,632.6001185306122,641.8203432023611,14.020224671748798,5.608089868699522
595,1,19,1047.0,1053.5615601986422,11.361560198642096,4.54462407945684
596,0,16,467.0,476.50274063333364,14.302740633333666,5.721096253333469
598,0,9,458.7595632653061,467.7036011844708,13.744037919164697,5.497615167665882
599,0,22,1087.0,1095.9621390941845,13.762139094184564,5.5048556376738285
601,1,3,1040.0,1046.6191836610255,11.419183661025624,4.567673464410252
602,1,10,1064.923567502041,1070.8789506073117,10.755383105270747,4.302153242108301
610,0,5,1048.7505892857143,1057.4831156139035,13.532526328189135,5.413010531275656
615,1,22,1069.0,1077.0898893453425,12.889889345342517,5.15595573813701
618,0,10,738.0,747.2256382792808,14.025638279280852,5.6102553117123435
621,1,14,1044.0,1047.486382932674,8.28638293267389,3.3145531730695574
629,0,14,464.0,472.26371166708134,13.063711667081327,5.225484666832533
632,0,15,443.0,452.22118848424736,14.021188484247368,5.60847539369895
634,1,8,1080.3501269489796,1084.3573286121668,8.807201663187204,3.5228806652748834
638,1,22,1065.0,1069.1246556951285,8.924655695128424,3.5698622780513714
639,1,13,1037.0,1045.4513451794378,13.251345179437745,5.300538071775101
644,1,10,1324.3500292959184,1327.7070338710869,8.157004575168578,3.2628018300674326
650,0,1,441.0,450.4625733343962,14.262573334396226,5.705029333758493
655,0,10,447.0,455.53441825160337,13.334418251603381,5.333767300641355
656,0,18,450.0,456.7241694916428,11.524169491642814,4.609667796657128
658,0,2,1115.0,1123.9001423804682,13.70014238046813,5.480056952187255
659,0,9,441.31442571428573,449.05913808850414,12.544712374218431,5.0178849496873745
664,0,18,845.3608674285714,851.2127785025525,10.651911073981157,4.260764429592465
665,1,8,1052.0,1055.6285320281734,8.428532028173455,3.3714128112693835
667,1,3,1136.0,1142.4917440933805,11.291744093380439,4.516697637352178
669,0,9,1199.0,1207.315247715203,13.11524771520295,5.246099086081182
672,0,19,1184.0,1193.5633287424776,14.363328742477606,5.745331496991045
673,0,8,437.0,445.62183307456627,13.421833074566273,5.368733229826511
680,1,14,1051.0,1055.0188800657968,8.818880065796908,3.5275520263187645
692,0,21,436.0,445.04231726002865,13.842317260028643,5.53692690401146
696,1,6,673.0,682.2282810162757,14.02828101627568,5.611312406510274
697,1,21,1049.0,1055.7991207763066,11.599120776306613,4.639648310522647
705,1,10,1051.3512011326532,1059.9234511385337,13.37225000588062,5.34890000235225
706,1,2,938.0400226285715,944.7239094687618,11.483886840190317,4.593554736076129
707,1,9,1054.0500018285713,1057.7612595662026,8.511257737631356,3.4045030950525437
708,0,23,458.0,466.8741916100792,13.674191610079195,5.46967664403168
709,0,10,440.0,448.2482916906303,13.048291690630311,5.219316676252127
713,1,14,1046.0,1053.392811355623,12.192811355623048,4.877124542249222
714,0,11,454.0,463.00284902881884,13.802849028818855,5.521139611527545
715,1,8,1056.3777138612245,1062.6077790186462,11.030065157421705,4.412026062968684
723,1,15,1058.613794,1066.1502797331655,12.336485733165379,4.934594293266154
731,1,19,1036.0,1042.014013246811,10.814013246810937,4.325605298724377
732,1,20,1116.0,1123.7799519363496,12.579951936349605,5.031980774539845
738,0,4,427.0,436.2262723520736,14.026272352073594,5.61050894082944
742,1,17,1046.755143622449,1054.9312002949416,12.976056672492575,5.190422668997033
745,0,7,753.0,761.916880462335,13.716880462335048,5.486752184934022
750,1,11,1065.0,1073.3356900741364,13.13569007413654,5.254276029654619
754,1,24,1107.0,1115.0656344525394,12.86563445253931,5.1462537810157265
757,1,24,1036.6062053469389,1043.794766454393,11.988561107454306,4.795424442981725
758,0,3,477.0,484.99371548158985,12.793715481589825,5.1174861926359325
759,0,17,458.0,467.19274593721383,13.992745937213842,5.597098374885539
760,1,7,1064.363175542857,1068.478459774631,8.915284231773713,3.5661136927094867
762,1,8,1064.0,1070.892386323271,11.692386323270966,4.6769545293083885
764,1,13,1058.0,1065.6519269308076,12.451926930807588,4.980770772323037
772,1,8,1112.0,1118.3747443023267,11.174744302326665,4.4698977209306685
773,1,15,1034.0,1037.8819560627842,8.681956062784133,3.472782425113655
774,1,13,1061.0,1067.1283322267418,10.92833222674176,4.371332890696706
775,1,23,1040.0,1049.2902698219668,14.090269821966766,5.636107928786709
777,1,15,1053.6112455918367,1059.0967348735594,10.285489281722617,4.114195712689049
780,1,19,824.0,830.622033386308,11.422033386307962,4.568813354523187
784,1,16,1040.0,1043.9995951092706,8.799595109270456,3.519838043708184
785,1,24,1001.0,1008.647142404738,12.447142404738035,4.978856961895216
792,1,5,1054.0,1059.4634389499952,10.263438949995173,4.105375579998071
794,0,10,450.0,457.1702252238758,11.970225223875758,4.788090089550305
797,1,10,1051.8028124081632,1057.5112798208718,10.50846741270869,4.203386965083478
798,1,8,847.0,854.089998840329,11.889998840329072,4.755999536131632
800,0,14,473.0,480.27658803218355,12.076588032183583,4.830635212873435
801,0,16,455.0,464.46804268149106,14.268042681491089,5.707217072596438
803,1,10,1158.3500097653061,1165.7824488408507,12.232439075544614,4.8929756302178475
804,0,17,474.0,482.82096788605213,13.620967886052107,5.448387154420845
808,0,13,1067.0,1075.9427962943976,13.742796294397653,5.497118517759064
814,0,22,703.0,711.9855390725572,13.785539072557242,5.5142156290229
816,0,11,822.0,831.3896320437599,14.189632043759916,5.675852817503969
819,1,13,1138.0,1146.7865359197606,13.586535919760625,5.434614367904253
820,0,6,919.0,927.0595589029962,12.85955890299623,5.143823561198495
821,1,10,1324.3500488265306,1333.5918996375249,14.041850810994355,5.616740324397744
824,0,13,417.0,423.2036240761302,11.003624076130217,4.401449630452089
833,0,8,440.00257265306124,449.2763626287061,14.0737899756449,5.629515990257962
836,1,16,1027.0,1031.9288830855307,9.728883085530642,3.8915532342122585
838,1,10,1065.7700020408163,1074.3561025229146,13.386100482098414,5.354440192839368
